code,identity,observedA,observedB,cat_A,cat_B,A_climate_concern,A_gay_adoption,A_migration_enriches_culture,A_govt_reduce_inequ,B_climate_concern,B_gay_adoption,B_migration_enriches_culture,B_govt_reduce_inequ,ed_climate_concern,ed_gay_adoption,ed_migration_enriches_culture,ed_govt_reduce_inequ,posAx,posAy,posBx,posBy,euclideanDistance,perceivedDistance
hbj9lrar,refuse to say,friend3,P3,friend,P,1,1,,1,1,1,1.0,1,0,0,,0,67.83331298828125,40.19999694824219,170.83331298828125,34.600006103515625,,103.15212017918498
hbj9lrar,refuse to say,friend3,P4,friend,P,1,1,,1,3,3,5.0,3,2,2,,2,67.83331298828125,40.19999694824219,426.83331298828125,438.8000030517578,,536.4354246931523
hbj9lrar,refuse to say,GreenVoter,AfDVoter,voter,voter,2,2,3.0,3,4,3,4.0,4,2,1,1.0,1,214.83331298828125,152.1999969482422,376.83331298828125,376.83331298828125,2.6457513110645907,276.95509866248005
hbj9lrar,refuse to say,GreenVoter,P1,voter,P,2,2,3.0,3,3,3,3.0,5,1,1,0.0,2,214.83331298828125,152.1999969482422,144.83331298828125,428.1999969482422,2.449489742783178,284.7384765008059
hbj9lrar,refuse to say,GreenVoter,P2,voter,P,2,2,3.0,3,3,5,3.0,5,1,3,0.0,2,214.83331298828125,152.1999969482422,373.83331298828125,470.6000061035156,3.7416573867739413,355.892632447032
hbj9lrar,refuse to say,GreenVoter,P3,voter,P,2,2,3.0,3,1,1,1.0,1,1,1,2.0,2,214.83331298828125,152.1999969482422,170.83331298828125,34.600006103515625,3.1622776601683795,125.56176904886205
hbj9lrar,refuse to say,GreenVoter,P4,voter,P,2,2,3.0,3,3,3,5.0,3,1,1,2.0,0,214.83331298828125,152.1999969482422,426.83331298828125,438.8000030517578,2.449489742783178,356.487816760314
hbj9lrar,refuse to say,AfDVoter,P1,voter,P,4,3,4.0,4,3,3,3.0,5,1,0,1.0,1,376.83331298828125,376.83331298828125,144.83331298828125,428.1999969482422,1.7320508075688772,237.61846776090977
hbj9lrar,refuse to say,AfDVoter,P2,voter,P,4,3,4.0,4,3,5,3.0,5,1,2,1.0,1,376.83331298828125,376.83331298828125,373.83331298828125,470.6000061035156,2.6457513110645907,93.81467229472446
hbj9lrar,refuse to say,AfDVoter,P3,voter,P,4,3,4.0,4,1,1,1.0,1,3,2,3.0,3,376.83331298828125,376.83331298828125,170.83331298828125,34.600006103515625,5.5677643628300215,399.4491661541956
hbj9lrar,refuse to say,AfDVoter,P4,voter,P,4,3,4.0,4,3,3,5.0,3,1,0,1.0,1,376.83331298828125,376.83331298828125,426.83331298828125,438.8000030517578,1.7320508075688772,79.62330486373298
hbj9lrar,refuse to say,P1,P2,P,P,3,3,3.0,5,3,5,3.0,5,0,2,0.0,0,144.83331298828125,428.1999969482422,373.83331298828125,470.6000061035156,2.0,232.8921655538616
hbj9lrar,refuse to say,P1,P3,P,P,3,3,3.0,5,1,1,1.0,1,2,2,2.0,4,144.83331298828125,428.1999969482422,170.83331298828125,34.600006103515625,5.291502622129181,394.4577959591733
hbj9lrar,refuse to say,P1,P4,P,P,3,3,3.0,5,3,3,5.0,3,0,0,2.0,2,144.83331298828125,428.1999969482422,426.83331298828125,438.8000030517578,2.8284271247461903,282.1991497673134
hbj9lrar,refuse to say,P2,P3,P,P,3,5,3.0,5,1,1,1.0,1,2,4,2.0,4,373.83331298828125,470.6000061035156,170.83331298828125,34.600006103515625,6.324555320336759,480.9417844188629
hbj9lrar,refuse to say,P2,P4,P,P,3,5,3.0,5,3,3,5.0,3,0,2,2.0,2,373.83331298828125,470.6000061035156,426.83331298828125,438.8000030517578,3.4641016151377544,61.80809165547668
hbj9lrar,refuse to say,P3,P4,P,P,1,1,1.0,1,3,3,5.0,3,2,2,4.0,2,170.83331298828125,34.600006103515625,426.83331298828125,438.8000030517578,5.291502622129181,478.44920057719713
zhlebtjq,Grüne,self,friend1,self,friend,1,1,1.0,1,1,2,2.0,3,0,1,1.0,2,97.83331298828125,114.60000610351562,121.83331298828125,231.60000610351562,2.449489742783178,119.4361754243663
