code,id,question,response
b4wvjphf,friend1,govt_reduce_inequ,3
b4wvjphf,friend2,govt_reduce_inequ,5
b4wvjphf,friend3,govt_reduce_inequ,2
b4wvjphf,GreenVoter,govt_reduce_inequ,2
b4wvjphf,AfDVoter,govt_reduce_inequ,3
b4wvjphf,P1,govt_reduce_inequ,-1
b4wvjphf,P2,govt_reduce_inequ,-1
b4wvjphf,P3,govt_reduce_inequ,1
b4wvjphf,P4,govt_reduce_inequ,0
b4wvjphf,self,name,b4wvjphf
b4wvjphf,friend1,name,TM
b4wvjphf,friend2,name,NC
b4wvjphf,friend3,name,MC
b4wvjphf,GreenVoter,name,GreenVoter
b4wvjphf,AfDVoter,name,AfDVoter
b4wvjphf,P1,name,P1
b4wvjphf,P2,name,P2
b4wvjphf,P3,name,P3
b4wvjphf,P4,name,P4
b4wvjphf,self,perceived_distance,
b4wvjphf,friend1,perceived_distance,222.3803048833237
b4wvjphf,friend2,perceived_distance,141.0319112825179
b4wvjphf,friend3,perceived_distance,38.47076812334269
b4wvjphf,GreenVoter,perceived_distance,33.97057550292606
b4wvjphf,AfDVoter,perceived_distance,341.7133301467767
b4wvjphf,P1,perceived_distance,117.64352935882194
b4wvjphf,P2,perceived_distance,248.766959220874
b4wvjphf,P3,perceived_distance,103.07764064044152
b4wvjphf,P4,perceived_distance,150.7348665704123
b4wvjphf,self,manhattan_distance,
b4wvjphf,friend1,manhattan_distance,1.75
b4wvjphf,friend2,manhattan_distance,1.25
b4wvjphf,friend3,manhattan_distance,0.75
b4wvjphf,GreenVoter,manhattan_distance,0.75
b4wvjphf,AfDVoter,manhattan_distance,2.0
b4wvjphf,P1,manhattan_distance,2.5
b4wvjphf,P2,manhattan_distance,2.75
b4wvjphf,P3,manhattan_distance,1.25
b4wvjphf,P4,manhattan_distance,2.5
b4wvjphf,self,euclidean_distance,
b4wvjphf,friend1,euclidean_distance,4.123105625617661
b4wvjphf,friend2,euclidean_distance,3.0
b4wvjphf,friend3,euclidean_distance,1.7320508075688772
b4wvjphf,GreenVoter,euclidean_distance,1.7320508075688772
b4wvjphf,AfDVoter,euclidean_distance,4.898979485566356
b4wvjphf,P1,euclidean_distance,5.477225575051661
b4wvjphf,P2,euclidean_distance,5.744562646538029
b4wvjphf,P3,euclidean_distance,3.0
b4wvjphf,P4,euclidean_distance,5.477225575051661
g2gbaom7,self,climate_concern,1
g2gbaom7,friend1,climate_concern,2
g2gbaom7,friend2,climate_concern,3
g2gbaom7,friend3,climate_concern,1
g2gbaom7,GreenVoter,climate_concern,2
g2gbaom7,AfDVoter,climate_concern,4
g2gbaom7,P1,climate_concern,0
g2gbaom7,P2,climate_concern,0
g2gbaom7,P3,climate_concern,1
g2gbaom7,P4,climate_concern,0
g2gbaom7,self,gay_adoption,1
g2gbaom7,friend1,gay_adoption,1
g2gbaom7,friend2,gay_adoption,2
g2gbaom7,friend3,gay_adoption,2
g2gbaom7,GreenVoter,gay_adoption,1
